analysis_id,ov2bb1va64666d8
parameter_name,Tremor
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
pvalue,0.5102171
gene_symbol,Lpgat1
