mouse_life_stage,Early adult
pvalue,0.5433761
parameter_name,Percentage center time
mouse_strain,C57BL
gene_symbol,Zfp683
parameter_id,IMPC_OFD_022_001
analysis_id,9dr0e2l7m38t3xq
gene_accession_id,MGI:3650254
