analysis_id,2ifaj83cu0282oe
mouse_strain,129SV
pvalue,0.1817051
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_id,IMPC_ABR_008_001
gene_symbol,Cntfr
parameter_name,18kHz-evoked ABR Threshold
