parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
analysis_id,8y9rq6c9cu698sh
mouse_strain,C57BL
pvalue,0.9626975
gene_symbol,Rab22a
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
