gene_symbol,Ivd
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
pvalue,0.3895164
parameter_name,B cell percentage
mouse_strain,C57BL
analysis_id,l30o393m90268p1
