parameter_id,JAX_OFD_016_001
pvalue,0.91514
parameter_name,Center permanence time
gene_accession_id,MGI:1931749
analysis_id,5cjb44q20464l4l
gene_symbol,Pum1
mouse_life_stage,Early adult
mouse_strain,C57BL
