analysis_id,ytgc3xa1x68kzf9
parameter_name,Chloride
pvalue,0.3742126
gene_symbol,Toporsl
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
mouse_strain,C57BL
