analysis_id,1706ch2f3ga8t43
gene_accession_id,MGI:88071
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
gene_symbol,Arnt
parameter_id,IMPC_IMM_032_001
pvalue,0.1995052
mouse_life_stage,Early adult
