analysis_id,8mw0fnb9665rsv3
parameter_id,IMPC_IMM_051_001
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
parameter_name,Monocytes
pvalue,0.5858807
mouse_strain,C57BL
mouse_life_stage,Early adult
