gene_symbol,Orc2
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
pvalue,0.310013
analysis_id,88911g22qk1cw37
