analysis_id,ec7y2513v5149s4
pvalue,0.8766947
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_id,IMPC_HEM_029_001
