parameter_name,Joints
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.3889813
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
analysis_id,6jf531gr1m0l1w8
