analysis_id,40741r5e6yc9x7o
pvalue,0.4595039
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
gene_symbol,Exd1
parameter_name,Center average speed
