gene_symbol,F2
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
parameter_name,Eye
analysis_id,93p2l1t6z670q74
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.06175292
