gene_symbol,Mov10
gene_accession_id,MGI:97054
pvalue,0.7453475
parameter_id,MGP_PBI_015_001
analysis_id,7xfnc840z5a8332
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
mouse_strain,C55BL
