gene_symbol,Grem2
mouse_strain,C57BL
gene_accession_id,MGI:1344367
parameter_id,MGP_MLN_063_001
parameter_name,Total ab T cells - % of CD45+
pvalue,0.4168547
mouse_life_stage,Early adult
analysis_id,0w8djkv19277x39
