gene_symbol,Nucks1
pvalue,0.5207827
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
parameter_name,Effector CD4+ T helper cells - % of CD45+
analysis_id,12zavv0955j5fq3
parameter_id,MGP_MLN_066_001
mouse_strain,C57BL
