gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
pvalue,0.7455689
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
analysis_id,7dutx7lq2oqf7g0
parameter_name,Eosinophil number
