parameter_name,Limb grasping
analysis_id,6548p2911rpu2wy
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_life_stage,Early adult
pvalue,0.8134645
parameter_id,ESLIM_008_001_017
