analysis_id,sr89640jzqa7jci
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:1914583
parameter_id,HRWLLA_FEA_015_001
gene_symbol,Stk35
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7148394
