parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
analysis_id,w678p8dx9t44g7h
gene_symbol,Kdm4c
pvalue,0.4789771
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
