parameter_id,HRWLLA_DXA_007_001
pvalue,0.6020063
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_accession_id,MGI:1341628
gene_symbol,Atrn
analysis_id,rpq1iw441w7swi5
mouse_life_stage,Early adult
