analysis_id,lmcvnyjj022z282
pvalue,0.9445143
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Right kidney weight
gene_symbol,Frmpd1
