parameter_name,Gait
gene_symbol,Mgst2
mouse_life_stage,Early adult
pvalue,0.7828883
mouse_strain,C57BL
analysis_id,qzxpr8llq2pp268
gene_accession_id,MGI:2448481
parameter_id,IMPC_CSD_033_001
