analysis_id,89l20s837s73i19
mouse_life_stage,E12.5
pvalue,0.5985697
gene_symbol,Hspa5
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_IMM_047_001
