parameter_name,Fat mass
gene_symbol,Cds2
analysis_id,4y66w2f5797fo8f
mouse_strain,C57BL
pvalue,0.8311467
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
