gene_symbol,F2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total food intake
analysis_id,zvtsf26589828e8
pvalue,0.771557
gene_accession_id,MGI:88380
parameter_id,IMPC_CAL_008_001
