parameter_name,Phosphorus
pvalue,0.2116152
mouse_life_stage,Early adult
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
analysis_id,7ndbi903688k3y7
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
