analysis_id,r1g7znv4349318i
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_027_001
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
pvalue,0.2935843
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
