gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_IMM_079_001
pvalue,0.807609
parameter_name,KLRG1+ Treg cells - % of CD45+
analysis_id,3qumgo0pz0ww7j5
