analysis_id,6fjkmp6ma0663ov
parameter_id,MGP_MLN_033_001
mouse_strain,C57BL
parameter_name,Resting NK cells - % of NK cells
pvalue,0.5745319
gene_symbol,Hspa5
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
