parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
pvalue,0.4483607
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
analysis_id,5hs50h81ywm5646
gene_symbol,Amigo1
