analysis_id,k5ycg332370umc8
pvalue,0.4886495
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,Periphery average speed
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
