analysis_id,af02b02r422gt7q
mouse_strain,C3H
gene_symbol,Mecom
pvalue,0.5441827
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
