gene_symbol,Pum1
pvalue,0.0984667
analysis_id,7uy42s8vw68nxih
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
mouse_strain,C57BL
