parameter_name,HRV
parameter_id,IMPC_ECG_010_001
gene_symbol,Usp37
pvalue,0.3722028
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
analysis_id,2j4qe8007wt8i24
mouse_strain,C57BL
