mouse_life_stage,Late adult
gene_symbol,Hpca
Parameter_name,Whole arena average speed
parameter_id,JAXLA_OFD_009_001
gene_accession_id,MGI:1336200
analysis_id,p9f4f27l13z87d3
Pvalue,0.3684997
mouse_strain,C57BL
