analysis_id,cifq1ykh930z4tc
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_name,Startle response
gene_accession_id,MGI:88174
pvalue,0.4090068
mouse_life_stage,Early adult
