parameter_name,Calcium
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
analysis_id,5j556a12l4tbxw1
pvalue,0.8459862
parameter_id,HMGULA_CBC_009_001
gene_symbol,Tbl1xr1
