parameter_id,MGP_CSD_064_001
analysis_id,w6oj31qp0y9m51h
mouse_life_stage,E18.5
mouse_strain,C53BL
gene_accession_id,MGI:88446
parameter_name,Head morphology
pvalue,0.6674643
gene_symbol,Col11a1
