analysis_id,4mzuk8wxx95u044
parameter_name,Head coat/hair presence
gene_accession_id,MGI:1924054
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5746067
parameter_id,MGP_CSD_015_001
gene_symbol,Kdm4c
