analysis_id,7777w9en5301js8
parameter_id,IMPC_ABR_002_001
pvalue,0.5647139
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
gene_symbol,AU040320
