parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
analysis_id,k73oxk82rnmy79r
pvalue,0.9495093
mouse_strain,C57BL
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
