analysis_id,00ldjawek503246
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
parameter_name,Hindpaw - size
gene_symbol,Dnajc8
pvalue,0.1175108
gene_accession_id,MGI:1915848
