analysis_id,t58h367wc9bfa7j
parameter_name,Fat/Body weight
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1224045
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
