parameter_name,HRV
pvalue,0.7110244
mouse_life_stage,Early adult
analysis_id,78q9514s99e42qo
gene_symbol,Trp53rkb
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_id,IMPC_ECG_010_001
