analysis_id,930s0jnkt81xgo8
pvalue,0.0628098
gene_symbol,Ntmt2
mouse_strain,C56BL
gene_accession_id,MGI:2685053
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
