analysis_id,eg91p81x3365fl8
mouse_strain,C57BL
parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
pvalue,0.8093757
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
gene_symbol,Slc45a3
