gene_symbol,Kdm5b
pvalue,0.8168593
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
analysis_id,h2pf5vqzkb2792e
mouse_strain,C57BL
gene_accession_id,MGI:1922855
parameter_id,IMPC_IMM_032_001
