parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
pvalue,0.1110096
gene_symbol,Arnt
analysis_id,6pvm28a48fmt2o9
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88071
