gene_symbol,Rgs20
pvalue,0.6434994
mouse_strain,C57BL
analysis_id,t98t4dg82k1272z
parameter_name,Resting NK cells - % of NK cells
gene_accession_id,MGI:1929866
parameter_id,MGP_MLN_033_001
mouse_life_stage,Early adult
