analysis_id,nf3885037n5k8ow
gene_symbol,Dnajc6
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
pvalue,0.6596953
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
mouse_strain,C57BL
