analysis_id,3z71w4649t41y4j
pvalue,0.8713869
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
