parameter_name,Fat mass
analysis_id,6io24h057ojmv32
mouse_strain,C57BL
pvalue,0.3448677
mouse_life_stage,E12.5
parameter_id,IMPC_DXA_002_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
