analysis_id,ys26i4y5pl3817c
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
pvalue,0.633726
parameter_id,MGP_IMM_011_001
gene_symbol,Ufc1
parameter_name,Resting Treg cells - % of Treg
