analysis_id,3o6g034ra4wp645
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
pvalue,0.8222496
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:2446274
