parameter_name,Monocyte percentage
mouse_strain,C57BL
analysis_id,ix7u73b7n49z9m7
pvalue,0.05825246
gene_symbol,Tatdn3
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
