analysis_id,o385aj5304yo05f
parameter_id,MGP_MLN_005_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.8483341
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
