parameter_name,RR
mouse_life_stage,Late adult
pvalue,0.3280079
gene_symbol,Hpca
mouse_strain,C57BL
analysis_id,y75rn6n8071940g
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:1336200
