analysis_id,gq31n2fu30s46u7
mouse_strain,C57BL
parameter_id,MGP_BMI_006_001
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
pvalue,0.8762358
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
