gene_symbol,Toporsl
parameter_name,Body position
analysis_id,46s89gb0w532kfw
mouse_life_stage,Early adult
pvalue,0.3679592
gene_accession_id,MGI:1915524
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
