gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.7452422
mouse_life_stage,Middle aged adult
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
parameter_name,Center distance travelled
analysis_id,2yg93657ck6ls28
