gene_symbol,Med22
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:98446
mouse_strain,C57BL
analysis_id,y6p8544i02p8y32
parameter_name,Retina (combined)
mouse_life_stage,Early adult
pvalue,0.9937658
