parameter_id,JAXLA_EYE_092_001
pvalue,0.6058285
analysis_id,5tyt96i289k42x2
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_name,Retina (combined)
